Frangula azorica
Fratercula arctica
Fringilla coelebs
Fringilla montifringilla
Fringilla teydea
Fritillaria conica
Fritillaria drenovskii
Fritillaria epirotica
Fritillaria euboeica
Fritillaria graeca
Fritillaria gussichiae
Fritillaria montana
Fritillaria obliqua
Fritillaria rhodocanakis
Fritillaria tuntasia
Frullania parvistipula
Fulica atra
Fulica cristata
Fulmarus glacialis
Fundulus heteroclitus
Gadiculus argenteus
Gaidropsarus mediterraneus
Gaidropsarus vulgaris
Galanthus nivalis
Galemys pyrenaicus
Galerida cristata
Galerida theklae
Galeus melastomus
Galium cracoviense
Galium globuliferum
Galium litorale
Galium moldavicum
Galium rhodopeum
Galium sudeticum
Galium viridiflorum
Gallinago gallinago
Gallinago media
Gallinula chloropus
Gallotia atlantica
Gallotia galloti
Gallotia simonyi
Gallotia stehlini
Gambusia affinis
Gambusia holbrooki
Garrulus glandarius
Gasterosteus aculeatus
Gaudinia hispanica
Gavia adamsii
Gavia arctica
Gavia immer
Gavia stellata
Gazella dorcas
Gazella subgutturosa
Gelochelidon nilotica
Genetta genetta
Genista benehoavensis
Genista dorycnifolia
Genista holopetala
Genista tetragona
Gentiana ligustica
Gentiana lutea
Gentianella anglica
Gentianella bohemica
Geodia cydonium
Geomalacus maculosus
Geomitra moniziana
Geranium maderense
Gerardia savaglia
Geronticus eremita
Geum bulgaricum
Gibbula nivosa
Gladiolus felicis
Gladiolus palustris
Glareola nordmanni
Glareola pratincola
Glaucidium passerinum
Glis glis
Globicephala macrorhynchus
Globicephala melaena
Globicephala melas
Globularia ascanii
Globularia sarcophylla
Globularia stygia
Glycyrrhiza iconica
Glyphipterix loricatella
Gobio albipinnatus
Gobio belingi
Gobio elimeius
Gobio gobio
Gobio kessleri
Gobio uranoscopus
Gobio vladykovi
Gobius auratus
Gobius cobitis
Gobius couchi
Gobius cruentatus
Gobius fluviatilis
Gobius geniporus
Gobius jozo
Gobius kessleri
Gobius luteus
Gobius niger
Gobius nigricans
Gobius ophiocephalus
Gobius paganellus
Gobius syrman
Gobius thressalus
Gomphus flavipes
Gomphus graslinii
Goniolithon byssoides
Goodyera macrophylla
Gortyna borelii
Graellsia isabelae
Graellsia isabellae
Grampus griseus
Graphoderus bilineatus
Grus grus
Gulo gulo
Guttigadus latifrons
Gymnammodytes cicerelus
Gymnigritella runei
Gymnocephalus baloni
Gymnocephalus schraetzer
Gypaetus barbatus
Gyps fulvus
Gypsophila papillosa
Haberlea rhodopensis
Haematopus ostralegus
Halcyon smyrnensis
Haliaeetus albicilla
Halichoerus grypus
Halimium verticillatum
Halobatrachus didactylus
Hamatocaulis lapponicus
Hamatocaulis vernicosus
Hedysarum razoumovianum
Helianthemum alypoides
Helianthemum arcticum
Helianthemum bystropogophyllum
Helianthemum caput-felis
Helianthemum teneriffae
Helichrysum gossypinum
Helichrysum melitense
Helichrysum monogynum
Helichrysum sibthorpii
